x,y,plane,baseRespawnTicks,itemId,quantity
# x,y,plane: world coordinates.
# baseRespawnTicks: the number of ticks used as the base respawn rate.
# itemId: the numerical id of the item.
# quantity: the quantity of the item.

# ensure ashes data is included because discovery for ashes if disabled
1497,3173,0,100,592,1 # ashes at Bandits' camp north-east of Ralos' Rise
3752,9780,0,100,592,1 # ashes at Sisterhood Sanctuary

3206,3208,0,100,558,1
3208,3214,0,100,1923,1
3209,3214,0,100,1931,1
3196,9822,0,500,1641,1
1965,9082,1,1500,2357,1
1968,9083,1,1500,2357,1
1969,9083,1,1500,2357,1

# todo populate this data.
# - Wiki is useful for respawn times.
# - following gist has dump of data:
#     https://gist.githubusercontent.com/Tyluur/4cb93ba0ea96f36640f8bfb5ec49f7c3/raw/osrs_item_spawn_dump.json
